timestamp,dc_power_w,lag_1,lag_2,rolling_mean_3,predicted_power_w,anomaly
600,870374428.7182753,866627962.3993424,866422197.546151,867808196.2212563,870659758.4882216,1
900,865875393.0298402,870374428.7182753,866627962.3993424,867625928.0491527,866001789.218618,1
1200,867033609.6332793,865875393.0298402,870374428.7182753,867761143.7937983,867004758.1846204,1
1500,874902372.6737468,867033609.6332793,865875393.0298402,869270458.4456221,874486198.9378926,1
1800,868162516.4474238,874902372.6737468,867033609.6332793,870032832.91815,868400839.7864866,1
2100,867341081.9454174,868162516.4474238,874902372.6737468,870135323.6888627,867588460.0426171,1
2400,871934079.5907483,867341081.9454174,868162516.4474238,869145892.6611966,871901315.0365779,1
2700,872959927.7534541,871934079.5907483,867341081.9454174,870745029.7632065,872759833.5850891,1
3000,868958303.3878034,872959927.7534541,871934079.5907483,871284103.5773352,869055382.6955904,1
3300,870880531.0797415,868958303.3878034,872959927.7534541,870932920.740333,870687994.4620348,1
3600,868892026.0279036,870880531.0797415,868958303.3878034,869576953.4984828,868979189.588329,1
3900,871717614.5948637,868892026.0279036,870880531.0797415,870496723.9008361,871648603.9924487,1
4200,872506815.5159642,871717614.5948637,868892026.0279036,871038818.7129103,872287030.6021972,1
4500,870271618.5788182,872506815.5159642,871717614.5948637,871498682.8965486,870260591.2649498,1
4800,867448143.6882492,870271618.5788182,872506815.5159642,870075525.9276772,867361646.3246206,1
5100,873312657.0295799,867448143.6882492,870271618.5788182,870344139.7655491,873156544.6431093,1
5400,871074181.8729554,873312657.0295799,867448143.6882492,870611660.8635949,871083429.6731826,1
5700,867829356.4305816,871074181.8729554,873312657.0295799,870738731.7777057,867930083.447102,1
6000,868372850.6994755,867829356.4305816,871074181.8729554,869092129.6676708,868411518.7196816,1
6300,870844346.9057878,868372850.6994755,867829356.4305816,869015518.0119482,870715448.2143755,1
6600,866595879.2833363,870844346.9057878,868372850.6994755,868604358.9628667,866921239.652583,1
6900,867982441.8055677,866595879.2833363,870844346.9057878,868474222.6648973,868028079.6450152,1
7200,865980714.902526,867982441.8055677,866595879.2833363,866853011.9971434,865886549.1063111,1
7500,867807388.4627608,865980714.902526,867982441.8055677,867256848.3902849,867336614.6277884,1
7800,867285591.0567288,867807388.4627608,865980714.902526,867024564.8073386,867051081.3302485,1
8100,866669063.6549866,867285591.0567288,867807388.4627608,867254014.391492,866710758.5621587,1
8400,864205702.7571567,866669063.6549866,867285591.0567288,866053452.489624,864407714.3347728,1
8700,872484728.0852256,864205702.7571567,866669063.6549866,867786498.1657896,872099135.4504843,1
9000,866546162.635503,872484728.0852256,864205702.7571567,867745531.1592951,866487682.4153113,1
9300,863949673.8463277,866546162.635503,872484728.0852256,867660188.1890187,864269699.8632586,1
9600,865313504.7342186,863949673.8463277,866546162.635503,865269780.4053497,865467325.7127991,1
9900,865866432.1890515,865313504.7342186,863949673.8463277,865043203.589866,865610903.1189134,1
10200,864401542.836966,865866432.1890515,865313504.7342186,865193826.5867453,864852752.9512781,1
10500,865122149.365841,864401542.836966,865866432.1890515,865130041.4639529,865047792.1363249,1
10800,862061133.5192717,865122149.365841,864401542.836966,863861608.5740262,862111382.9992894,1
11100,863030019.828785,862061133.5192717,865122149.365841,863404434.237966,862968189.5951929,1
11400,864863923.4267318,863030019.828785,862061133.5192717,863318358.9249296,864549785.7721715,1
11700,864307831.9184235,864863923.4267318,863030019.828785,864067258.3913134,864343453.2806313,1
12000,861985486.5780684,864307831.9184235,864863923.4267318,863719080.6410745,862111382.9992894,1
12300,867792757.584069,861985486.5780684,864307831.9184235,864695358.6935202,867506797.9772117,1
12600,862214058.7425363,867792757.584069,861985486.5780684,863997434.3015579,862396089.2040536,1
12900,860630714.0258014,862214058.7425363,867792757.584069,863545843.4508022,861003075.2182609,1
13200,70618851.78747995,860630714.0258014,862214058.7425363,597821208.1852726,70859705.77017991,-1
